"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 09 16:09:46 EET 2020","Mon Nov 09 16:10:06 EET 2020","19710","","Register to webstore","","Register to webstore","should enter creditentials and register new user","should enter creditentials and register new user",""
"passed","Mon Nov 09 16:10:04 EET 2020","Mon Nov 09 16:10:11 EET 2020","6102","","Login to webpage","","Login to webpage","should navigate to selected product page","should navigate to selected product page",""
"passed","Mon Nov 09 16:09:50 EET 2020","Mon Nov 09 16:10:07 EET 2020","17087","","Login to webpage","","Login to webpage","should log in as registered user","should log in as registered user",""
"passed","Mon Nov 09 16:10:10 EET 2020","Mon Nov 09 16:10:16 EET 2020","5027","","Login to webpage","","Login to webpage","should send out messages","should send out messages",""
"passed","Mon Nov 09 16:09:44 EET 2020","Mon Nov 09 16:09:48 EET 2020","4147","","Register to webstore","","Register to webstore","should enter creditentials on text fields","should enter creditentials on text fields",""
"passed","Mon Nov 09 16:10:01 EET 2020","Mon Nov 09 16:10:04 EET 2020","3653","","Login to webpage","","Login to webpage","should navigate to products page","should navigate to products page",""
"passed","Mon Nov 09 16:09:40 EET 2020","Mon Nov 09 16:09:50 EET 2020","9357","","Login to webpage","","Login to webpage","should navigate to login page","should navigate to login page",""
"passed","Mon Nov 09 16:09:56 EET 2020","Mon Nov 09 16:10:01 EET 2020","4852","","Login to webpage","","Login to webpage","should add selected product to wishbasket","should add selected product to wishbasket",""
"passed","Mon Nov 09 16:10:11 EET 2020","Mon Nov 09 16:10:16 EET 2020","5001","","Login to webpage","","Login to webpage","should add product to basket","should add product to basket",""
"passed","Mon Nov 09 16:09:32 EET 2020","Mon Nov 09 16:09:40 EET 2020","8013","","Login to webpage","","Login to webpage","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Mon Nov 09 16:09:40 EET 2020","Mon Nov 09 16:09:46 EET 2020","6479","","Register to webstore","","Register to webstore","should navigate to register page","should navigate to register page",""
"passed","Mon Nov 09 16:09:32 EET 2020","Mon Nov 09 16:09:40 EET 2020","7984","","Register to webstore","","Register to webstore","should open the main url and verify the title","should open the main url and verify the title",""
"broken","Mon Nov 09 16:10:16 EET 2020","Mon Nov 09 16:10:29 EET 2020","13155","","Login to webpage","","Login to webpage","should finalize checkout","should finalize checkout",""
"passed","Mon Nov 09 16:10:01 EET 2020","Mon Nov 09 16:10:10 EET 2020","9850","","Login to webpage","","Login to webpage","should share wishBasket","should share wishBasket",""
